sample_id,category,t_start,t_end,t_delta,whole_psnr,clip_edited,image_path
0,0_random_140,0.35,0.8,0.0,10.616372,0.228314,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p35__t_end_0p8.png
0,0_random_140,0.45,0.8,0.0,10.582212,0.231705,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p45__t_end_0p8.png
0,0_random_140,0.55,0.8,0.0,10.584829,0.234392,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p55__t_end_0p8.png
0,0_random_140,0.65,0.8,0.0,10.710297,0.225854,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p65__t_end_0p8.png
0,0_random_140,0.75,0.8,0.0,10.263936,0.240486,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p75__t_end_0p8.png
0,0_random_140,0.85,0.8,0.0,10.07498,0.236534,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p85__t_end_0p8.png
0,0_random_140,0.0,0.9,0.0,9.618628,0.219986,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0__t_end_0p9.png
0,0_random_140,0.05,0.9,0.0,9.618963,0.220215,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p05__t_end_0p9.png
0,0_random_140,0.15,0.9,0.0,9.618624,0.219487,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p15__t_end_0p9.png
0,0_random_140,0.25,0.9,0.0,9.615846,0.220803,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p25__t_end_0p9.png
0,0_random_140,0.35,0.9,0.0,9.613738,0.220933,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p35__t_end_0p9.png
0,0_random_140,0.45,0.9,0.0,9.625606,0.225635,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p45__t_end_0p9.png
0,0_random_140,0.55,0.9,0.0,9.638016,0.226719,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p55__t_end_0p9.png
0,0_random_140,0.65,0.9,0.0,9.710983,0.231832,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p65__t_end_0p9.png
0,0_random_140,0.75,0.9,0.0,9.37446,0.219518,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p75__t_end_0p9.png
0,0_random_140,0.85,0.9,0.0,9.397804,0.227368,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p85__t_end_0p9.png
0,0_random_140,0.0,1.0,0.0,9.043481,0.198174,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0__t_end_1.png
0,0_random_140,0.05,1.0,0.0,9.043238,0.196812,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p05__t_end_1.png
0,0_random_140,0.15,1.0,0.0,9.042959,0.197902,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p15__t_end_1.png
0,0_random_140,0.25,1.0,0.0,9.041362,0.198809,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p25__t_end_1.png
0,0_random_140,0.35,1.0,0.0,9.037114,0.198322,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p35__t_end_1.png
0,0_random_140,0.45,1.0,0.0,9.030619,0.206602,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p45__t_end_1.png
0,0_random_140,0.55,1.0,0.0,9.079603,0.197288,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p55__t_end_1.png
0,0_random_140,0.65,1.0,0.0,9.180781,0.209047,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p65__t_end_1.png
0,0_random_140,0.75,1.0,0.0,8.961039,0.198242,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p75__t_end_1.png
0,0_random_140,0.85,1.0,0.0,9.244707,0.20859,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p85__t_end_1.png
1,0_random_140,0.0,0.0,0.0,28.346129,0.229198,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000001/t_delta_0/cells/t_start_0__t_end_0.png
1,0_random_140,0.05,0.0,0.0,28.342145,0.229944,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000001/t_delta_0/cells/t_start_0p05__t_end_0.png
1,0_random_140,0.15,0.0,0.0,28.324248,0.232154,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000001/t_delta_0/cells/t_start_0p15__t_end_0.png
1,0_random_140,0.25,0.0,0.0,28.287442,0.230762,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000001/t_delta_0/cells/t_start_0p25__t_end_0.png
1,0_random_140,0.35,0.0,0.0,28.190751,0.230185,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000001/t_delta_0/cells/t_start_0p35__t_end_0.png
1,0_random_140,0.45,0.0,0.0,27.828082,0.231045,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000001/t_delta_0/cells/t_start_0p45__t_end_0.png
1,0_random_140,0.55,0.0,0.0,26.508733,0.225418,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000001/t_delta_0/cells/t_start_0p55__t_end_0.png
1,0_random_140,0.65,0.0,0.0,22.988317,0.259864,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000001/t_delta_0/cells/t_start_0p65__t_end_0.png
