sample_id,category,t_start,t_end,t_delta,psnr,clip_similarity_target_image_edit_part,cell_path
00000000,annotation_images,0.7,0.3,0.0,15.32672119140625,22.357301712036133,/00000000/cells/t_start_0p7__t_end_0p3.jpg
00000000,annotation_images,0.7,0.4,0.0,14.462885856628418,25.546428680419922,/00000000/cells/t_start_0p7__t_end_0p4.jpg
00000000,annotation_images,0.7,0.5,0.0,13.845721244812012,26.47410011291504,/00000000/cells/t_start_0p7__t_end_0p5.jpg
00000000,annotation_images,0.7,0.6,0.0,13.231185913085938,24.54533576965332,/00000000/cells/t_start_0p7__t_end_0p6.jpg
00000000,annotation_images,0.7,0.7,0.0,12.537878036499023,25.39215087890625,/00000000/cells/t_start_0p7__t_end_0p7.jpg
00000000,annotation_images,0.7,0.8,0.0,12.057929992675781,23.29669189453125,/00000000/cells/t_start_0p7__t_end_0p8.jpg
00000000,annotation_images,0.7,0.9,0.0,11.985715866088867,30.683368682861328,/00000000/cells/t_start_0p7__t_end_0p9.jpg
00000000,annotation_images,0.7,1.0,0.0,10.66029167175293,27.044862747192383,/00000000/cells/t_start_0p7__t_end_1p0.jpg
00000000,annotation_images,0.8,0.0,0.0,15.170360565185547,14.552604675292969,/00000000/cells/t_start_0p8__t_end_0p0.jpg
00000000,annotation_images,0.8,0.1,0.0,15.525186538696289,18.68721580505371,/00000000/cells/t_start_0p8__t_end_0p1.jpg
00000000,annotation_images,0.8,0.2,0.0,15.519983291625977,22.632381439208984,/00000000/cells/t_start_0p8__t_end_0p2.jpg
00000000,annotation_images,0.8,0.3,0.0,15.199638366699219,23.595067977905273,/00000000/cells/t_start_0p8__t_end_0p3.jpg
00000000,annotation_images,0.8,0.4,0.0,14.847458839416504,28.18893814086914,/00000000/cells/t_start_0p8__t_end_0p4.jpg
00000000,annotation_images,0.8,0.5,0.0,14.474435806274414,30.028247833251953,/00000000/cells/t_start_0p8__t_end_0p5.jpg
00000000,annotation_images,0.8,0.6,0.0,13.79568099975586,28.704872131347656,/00000000/cells/t_start_0p8__t_end_0p6.jpg
00000000,annotation_images,0.8,0.7,0.0,13.217527389526367,30.85400390625,/00000000/cells/t_start_0p8__t_end_0p7.jpg
00000000,annotation_images,0.8,0.8,0.0,12.508785247802734,27.978858947753906,/00000000/cells/t_start_0p8__t_end_0p8.jpg
00000000,annotation_images,0.8,0.9,0.0,11.612541198730469,25.172285079956055,/00000000/cells/t_start_0p8__t_end_0p9.jpg
00000000,annotation_images,0.8,1.0,0.0,10.606098175048828,29.51262664794922,/00000000/cells/t_start_0p8__t_end_1p0.jpg
00000000,annotation_images,0.9,0.0,0.0,14.507302284240723,15.889376640319824,/00000000/cells/t_start_0p9__t_end_0p0.jpg
00000000,annotation_images,0.9,0.1,0.0,14.88492488861084,14.710354804992676,/00000000/cells/t_start_0p9__t_end_0p1.jpg
00000000,annotation_images,0.9,0.2,0.0,14.93177604675293,18.09598731994629,/00000000/cells/t_start_0p9__t_end_0p2.jpg
00000000,annotation_images,0.9,0.3,0.0,14.817766189575195,19.464693069458008,/00000000/cells/t_start_0p9__t_end_0p3.jpg
00000000,annotation_images,0.9,0.4,0.0,14.44347858428955,23.761350631713867,/00000000/cells/t_start_0p9__t_end_0p4.jpg
00000000,annotation_images,0.9,0.5,0.0,14.138298034667969,29.930316925048828,/00000000/cells/t_start_0p9__t_end_0p5.jpg
00000000,annotation_images,0.9,0.6,0.0,13.42892837524414,28.971189498901367,/00000000/cells/t_start_0p9__t_end_0p6.jpg
00000000,annotation_images,0.9,0.7,0.0,12.734399795532227,30.324352264404297,/00000000/cells/t_start_0p9__t_end_0p7.jpg
00000000,annotation_images,0.9,0.8,0.0,12.316484451293945,30.156051635742188,/00000000/cells/t_start_0p9__t_end_0p8.jpg
00000000,annotation_images,0.9,0.9,0.0,11.576671600341797,31.072044372558594,/00000000/cells/t_start_0p9__t_end_0p9.jpg
00000000,annotation_images,0.9,1.0,0.0,10.600308418273926,29.670351028442383,/00000000/cells/t_start_0p9__t_end_1p0.jpg
00000000,annotation_images,1.0,0.0,0.0,13.765182495117188,15.855998992919922,/00000000/cells/t_start_1p0__t_end_0p0.jpg
00000000,annotation_images,1.0,0.1,0.0,14.143462181091309,14.572046279907227,/00000000/cells/t_start_1p0__t_end_0p1.jpg
00000000,annotation_images,1.0,0.2,0.0,14.177523612976074,20.08995819091797,/00000000/cells/t_start_1p0__t_end_0p2.jpg
00000000,annotation_images,1.0,0.3,0.0,13.906452178955078,24.507232666015625,/00000000/cells/t_start_1p0__t_end_0p3.jpg
00000000,annotation_images,1.0,0.4,0.0,13.482256889343262,28.539276123046875,/00000000/cells/t_start_1p0__t_end_0p4.jpg
00000000,annotation_images,1.0,0.5,0.0,13.060126304626465,30.64378547668457,/00000000/cells/t_start_1p0__t_end_0p5.jpg
00000000,annotation_images,1.0,0.6,0.0,12.756966590881348,28.76790428161621,/00000000/cells/t_start_1p0__t_end_0p6.jpg
00000000,annotation_images,1.0,0.7,0.0,12.553417205810547,29.456058502197266,/00000000/cells/t_start_1p0__t_end_0p7.jpg
00000000,annotation_images,1.0,0.8,0.0,12.22110652923584,30.75379180908203,/00000000/cells/t_start_1p0__t_end_0p8.jpg
00000000,annotation_images,1.0,0.9,0.0,11.36909294128418,30.266799926757812,/00000000/cells/t_start_1p0__t_end_0p9.jpg
00000000,annotation_images,1.0,1.0,0.0,10.3712739944458,29.289669036865234,/00000000/cells/t_start_1p0__t_end_1p0.jpg
00000001,annotation_images,0.0,0.0,0.0,29.039602279663086,15.382083892822266,/00000001/cells/t_start_0p0__t_end_0p0.jpg
00000001,annotation_images,0.0,0.1,0.0,25.62567138671875,16.684179306030273,/00000001/cells/t_start_0p0__t_end_0p1.jpg
00000001,annotation_images,0.0,0.2,0.0,23.968521118164062,13.634610176086426,/00000001/cells/t_start_0p0__t_end_0p2.jpg
00000001,annotation_images,0.0,0.3,0.0,22.233253479003906,12.499878883361816,/00000001/cells/t_start_0p0__t_end_0p3.jpg
00000001,annotation_images,0.0,0.4,0.0,20.26837921142578,17.971942901611328,/00000001/cells/t_start_0p0__t_end_0p4.jpg
00000001,annotation_images,0.0,0.5,0.0,18.042613983154297,21.067983627319336,/00000001/cells/t_start_0p0__t_end_0p5.jpg
00000001,annotation_images,0.0,0.6,0.0,16.16433334350586,19.220314025878906,/00000001/cells/t_start_0p0__t_end_0p6.jpg
00000001,annotation_images,0.0,0.7,0.0,13.424405097961426,19.703067779541016,/00000001/cells/t_start_0p0__t_end_0p7.jpg
00000001,annotation_images,0.0,0.8,0.0,12.19109058380127,19.476913452148438,/00000001/cells/t_start_0p0__t_end_0p8.jpg
00000001,annotation_images,0.0,0.9,0.0,11.582176208496094,20.021520614624023,/00000001/cells/t_start_0p0__t_end_0p9.jpg
00000001,annotation_images,0.0,1.0,0.0,9.814067840576172,16.268905639648438,/00000001/cells/t_start_0p0__t_end_1p0.jpg
00000001,annotation_images,0.1,0.0,0.0,28.866065979003906,16.678651809692383,/00000001/cells/t_start_0p1__t_end_0p0.jpg
00000001,annotation_images,0.1,0.1,0.0,25.521514892578125,16.61981773376465,/00000001/cells/t_start_0p1__t_end_0p1.jpg
00000001,annotation_images,0.1,0.2,0.0,23.9114990234375,14.309975624084473,/00000001/cells/t_start_0p1__t_end_0p2.jpg
00000001,annotation_images,0.1,0.3,0.0,22.20768928527832,17.221120834350586,/00000001/cells/t_start_0p1__t_end_0p3.jpg
