sample_id,t_delta,t_start,t_end,psnr,clip_similarity_target_image,combined_quality_score
124000000000,0.0,0.0,0.0,30.875831604003903,22.154926300048828,0.5681641546812279
124000000001,0.0,0.0,0.0,38.48345947265625,17.382972717285156,0.6367498608066627
124000000002,0.0,0.0,0.0,24.115131378173828,14.336535453796388,0.2817414285893247
124000000003,0.0,0.0,0.0,18.641891479492188,20.699657440185547,0.2871807616936423
124000000004,0.0,0.0,0.0,24.296735763549805,27.050893783569336,0.5232324485239718
124000000005,0.0,0.0,0.0,28.939546585083008,21.935985565185547,0.523905374727488
124000000006,0.0,0.0,0.0,30.668819427490234,24.494762420654297,0.6076185851244006
124000000007,0.0,0.0,0.0,30.56504821777344,14.32923984527588,0.4153983886751578
124000000008,0.0,0.0,0.0,31.23910522460937,20.395883560180664,0.5428103785304289
124000000009,0.0,0.0,0.0,30.510393142700195,21.00271415710449,0.5390404757299012
211000000000,0.0,0.0,0.0,28.71979331970215,27.181196212768555,0.6174181135744259
211000000001,0.0,0.0,0.0,22.91684913635254,23.106843948364254,0.42086586763409783
211000000002,0.0,0.0,0.0,23.426319122314453,28.72718048095703,0.5365190283802923
211000000003,0.0,0.0,0.0,25.443878173828125,31.231964111328125,0.6252027557495868
211000000004,0.0,0.0,0.0,26.436697006225582,26.91220092773437,0.5650293954800774
211000000005,0.0,0.0,0.0,28.53471946716309,23.885971069335938,0.5519672994171498
211000000006,0.0,0.0,0.0,27.30424118041992,27.61032485961914,0.5960782521638179
211000000007,0.0,0.0,0.0,28.530187606811523,30.825218200683597,0.6816183425641176
211000000008,0.0,0.0,0.0,31.85386657714844,23.777660369873047,0.6187926640184123
211000000009,0.0,0.0,0.0,31.60936546325684,30.3977165222168,0.7374979196423805
212000000000,0.0,0.0,0.0,26.60856437683105,26.37166976928711,0.5584880508027744
212000000001,0.0,0.0,0.0,30.91284942626953,22.92064476013184,0.58324888387578
212000000002,0.0,0.0,0.0,27.065092086791992,27.20276641845703,0.583497246347536
212000000003,0.0,0.0,0.0,30.82162857055664,17.881349563598633,0.4871355355082793
212000000004,0.0,0.0,0.0,29.731351852416992,21.90348052978516,0.5397223723773361
212000000005,0.0,0.0,0.0,30.614160537719727,15.280320167541504,0.43419976189350357
212000000006,0.0,0.0,0.0,32.861427307128906,26.58755874633789,0.6922303826215914
212000000007,0.0,0.0,0.0,27.392406463623047,27.26312828063965,0.5914154703347956
212000000008,0.0,0.0,0.0,35.33551788330078,15.350736618041992,0.5334534814052244
212000000009,0.0,0.0,0.0,28.88737678527832,18.57884788513184,0.4600538498014308
213000000000,0.0,0.0,0.0,37.06410217285156,26.909183502197266,0.7854217629870901
213000000001,0.0,0.0,0.0,34.61899185180664,26.46318626403809,0.7263628642791196
213000000002,0.0,0.0,0.0,22.90952491760254,28.42772674560547,0.5201999759418432
213000000003,0.0,0.0,0.0,32.91012954711914,26.07754135131836,0.6837046956495596
213000000004,0.0,0.0,0.0,21.45813369750977,27.912092208862305,0.48045218707047144
213000000005,0.0,0.0,0.0,28.412412643432617,27.443588256835938,0.6159480031044156
213000000006,0.0,0.0,0.0,24.78500366210937,24.51620864868164,0.4859690784822025
213000000007,0.0,0.0,0.0,37.77310180664063,20.150182723999023,0.673753911079308
213000000008,0.0,0.0,0.0,26.440473556518555,24.799116134643555,0.5255987951610505
213000000009,0.0,0.0,0.0,26.489547729492188,28.54107666015625,0.5965812468331668
214000000000,0.0,0.0,0.0,24.636859893798828,26.667236328125,0.5231144369848928
214000000001,0.0,0.0,0.0,24.520811080932617,28.672834396362305,0.5582064165774716
214000000002,0.0,0.0,0.0,33.93381881713867,27.862215042114254,0.7383080619862887
214000000003,0.0,0.0,0.0,27.66203117370605,17.33345603942871,0.4113505440864216
214000000004,0.0,0.0,0.0,27.5529727935791,26.99546241760254,0.5897415423076398
214000000005,0.0,0.0,0.0,32.39505386352539,17.472576141357422,0.5121308142308842
214000000006,0.0,0.0,0.0,24.56114196777344,21.96838760375977,0.43368809563616734
214000000007,0.0,0.0,0.0,33.21570587158203,23.416370391845703,0.6402867356581698
214000000008,0.0,0.0,0.0,32.11988830566406,17.51641273498535,0.5072425631208158
214000000009,0.0,0.0,0.0,37.05112838745117,20.80095672607422,0.6709454133938122
221000000000,0.0,0.0,0.0,33.87059020996094,23.221418380737305,0.6502262075901795
221000000001,0.0,0.0,0.0,26.105363845825195,22.118959426879883,0.4685358304019551
221000000002,0.0,0.0,0.0,33.55257034301758,25.248485565185547,0.6815300297966302
221000000003,0.0,0.0,0.0,24.75542259216309,27.81623268127441,0.54705694046689
221000000004,0.0,0.0,0.0,26.95142936706543,25.32594871520996,0.5460481053347238
221000000005,0.0,0.0,0.0,29.02507209777832,27.982879638671875,0.6387399409164222
221000000006,0.0,0.0,0.0,21.467416763305664,26.66610145568848,0.4573481111511508
221000000007,0.0,0.0,0.0,30.97473907470703,23.97938346862793,0.604328221689068
221000000008,0.0,0.0,0.0,28.80083656311035,25.978294372558597,0.5966082350268701
