sample_id,t_delta,t_start,t_end,psnr,clip_similarity_target_image
3,0.15,0.8,0.9,13.001714888602049,31.33212852478028
3,0.15,0.8,1.0,13.001714888602049,31.33212852478028
3,0.15,0.9,0.0,17.44523754330378,27.61195945739746
3,0.15,0.9,0.1,17.474798598245716,30.33107566833496
3,0.15,0.9,0.2,17.389808177289762,30.7448959350586
3,0.15,0.9,0.3,17.019921349448982,30.21421813964844
3,0.15,0.9,0.4,16.414643583986017,31.38338088989257
3,0.15,0.9,0.5,15.440682967385404,31.21396827697754
3,0.15,0.9,0.6,14.59587789525198,29.38993263244629
3,0.15,0.9,0.7,13.98977098875032,29.51253128051757
3,0.15,0.9,0.8,13.028280243348014,30.617332458496094
3,0.15,0.9,0.9,11.853824791446335,30.19710731506348
3,0.15,0.9,1.0,11.853824791446335,30.19710731506348
3,0.15,1.0,0.0,15.93756348612331,23.23085594177246
3,0.15,1.0,0.1,16.043800854059672,25.708467483520508
3,0.15,1.0,0.2,15.93467885404133,29.23845291137696
3,0.15,1.0,0.3,15.537897911882396,30.066696166992188
3,0.15,1.0,0.4,14.798881937236352,30.63032531738281
3,0.15,1.0,0.5,13.927585473027545,29.684972763061523
3,0.15,1.0,0.6,13.244427766258326,29.01202774047852
3,0.15,1.0,0.7,12.962643834995708,26.30550193786621
3,0.15,1.0,0.8,12.224549408130056,26.04279518127441
3,0.15,1.0,0.9,11.432869800578285,29.523530960083008
3,0.15,1.0,1.0,11.075184328215306,29.70174598693848
4,0.15,0.0,0.0,31.71691523511042,21.07012939453125
4,0.15,0.0,0.1,31.71691523511042,21.07012939453125
4,0.15,0.0,0.2,31.71691523511042,21.07012939453125
4,0.15,0.0,0.3,31.71691523511042,21.07012939453125
4,0.15,0.0,0.4,31.71691523511042,21.07012939453125
4,0.15,0.0,0.5,31.71691523511042,21.07012939453125
4,0.15,0.0,0.6,31.71691523511042,21.07012939453125
4,0.15,0.0,0.7,31.71691523511042,21.07012939453125
4,0.15,0.0,0.8,31.71691523511042,21.07012939453125
4,0.15,0.0,0.9,31.71691523511042,21.07012939453125
4,0.15,0.0,1.0,31.71691523511042,21.07012939453125
4,0.15,0.1,0.0,31.709178311541404,21.3414306640625
4,0.15,0.1,0.1,26.89862327445126,21.988845825195312
4,0.15,0.1,0.2,26.89862327445126,21.988845825195312
4,0.15,0.1,0.3,26.89862327445126,21.988845825195312
4,0.15,0.1,0.4,26.89862327445126,21.988845825195312
4,0.15,0.1,0.5,26.89862327445126,21.988845825195312
4,0.15,0.1,0.6,26.89862327445126,21.988845825195312
4,0.15,0.1,0.7,26.89862327445126,21.988845825195312
4,0.15,0.1,0.8,26.89862327445126,21.988845825195312
4,0.15,0.1,0.9,26.89862327445126,21.988845825195312
4,0.15,0.1,1.0,26.89862327445126,21.988845825195312
4,0.15,0.2,0.0,31.643818916098503,21.58146476745605
4,0.15,0.2,0.1,26.89008883602693,22.198490142822266
4,0.15,0.2,0.2,24.853878420277624,22.4495849609375
4,0.15,0.2,0.3,24.853878420277624,22.4495849609375
4,0.15,0.2,0.4,24.853878420277624,22.4495849609375
4,0.15,0.2,0.5,24.853878420277624,22.4495849609375
4,0.15,0.2,0.6,24.853878420277624,22.4495849609375
4,0.15,0.2,0.7,24.853878420277624,22.4495849609375
4,0.15,0.2,0.8,24.853878420277624,22.4495849609375
