file_id,classifier_full_sdturbo_t00_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t00_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t01_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t01_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t02_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t02_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t03_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t03_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t04_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t04_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t05_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t05_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t06_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t06_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t07_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t07_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t08_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t08_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t09_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t09_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t10_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t10_delta0_tc030|clip_similarity_target_image_edit_part
000000000020,23.747400283813477,21.25397491455078,23.73558807373047,20.89371681213379,23.692970275878906,21.341968536376953,23.473703384399414,21.817668914794922,23.406076431274414,22.01434898376465,23.577682495117188,21.7620792388916,23.13064193725586,21.373193740844727,22.711915969848633,23.52008819580078,21.877885818481445,23.09768295288086,21.286060333251953,23.270771026611328,19.067441940307617,20.050518035888672
000000000021,21.944263458251953,24.42397117614746,21.942739486694336,24.699848175048828,21.97570037841797,24.161216735839844,21.896570205688477,23.909908294677734,21.841341018676758,24.330337524414062,21.86516761779785,24.022680282592773,21.76567840576172,24.513317108154297,21.080467224121094,25.77500343322754,20.91591453552246,24.79018783569336,20.860506057739258,25.263893127441406,19.17035484313965,25.816837310791016
000000000022,16.34762954711914,14.16310977935791,16.35493278503418,13.706618309020996,16.34099578857422,15.39142894744873,16.289352416992188,17.70475196838379,16.13809585571289,17.15489387512207,16.07099723815918,14.611283302307129,15.587386131286621,12.82203197479248,14.180863380432129,14.314164161682129,12.610294342041016,14.6222505569458,13.05302906036377,14.099637985229492,11.890543937683105,11.820667266845703
000000000023,24.291725158691406,26.02387046813965,24.28403091430664,25.96341323852539,24.272926330566406,26.277748107910156,24.238277435302734,26.356887817382812,24.19074249267578,26.59099769592285,24.11655616760254,26.82248878479004,23.99517059326172,26.631515502929688,23.734355926513672,26.427978515625,23.428483963012695,25.624221801757812,23.12204933166504,27.118820190429688,21.07773208618164,24.8271427154541
000000000024,22.693281173706055,20.51877212524414,22.67605972290039,20.55719566345215,22.654621124267578,20.732189178466797,22.611976623535156,20.825119018554688,22.562049865722656,20.701908111572266,22.32164764404297,20.99936866760254,22.029043197631836,20.917522430419922,21.5828857421875,21.432504653930664,20.67744255065918,21.398555755615234,20.177566528320312,22.6977481842041,19.713546752929688,21.63658905029297
000000000025,23.88787269592285,24.82671546936035,23.887418746948242,25.0030517578125,23.88669776916504,25.759899139404297,23.88599395751953,25.696950912475586,23.761674880981445,27.710168838500977,23.5274600982666,26.488229751586914,23.410245895385742,25.790512084960938,22.437501907348633,26.758289337158203,18.1043758392334,32.2679443359375,18.932571411132812,24.1863956451416,18.083349227905273,24.046791076660156
000000000026,22.64839744567871,16.631874084472656,22.664688110351562,16.24336051940918,22.667823791503906,16.723976135253906,22.515527725219727,15.801959991455078,22.407302856445312,16.050352096557617,22.263708114624023,15.799236297607422,21.845502853393555,17.30813980102539,20.445953369140625,18.814498901367188,17.795425415039062,19.483686447143555,17.131595611572266,17.488237380981445,16.17637062072754,19.654277801513672
000000000027,20.46413803100586,21.86969566345215,20.45938491821289,21.793100357055664,20.449970245361328,21.935535430908203,20.434785842895508,21.974895477294922,20.403474807739258,23.01115608215332,20.394330978393555,22.815425872802734,20.345123291015625,21.69268035888672,20.30704689025879,21.22900390625,18.404869079589844,22.55626106262207,19.0154972076416,22.84950828552246,17.802446365356445,21.22455596923828
000000000028,nan,23.41952896118164,nan,23.422168731689453,nan,23.13498306274414,nan,24.093618392944336,nan,23.809770584106445,nan,23.710426330566406,nan,23.360645294189453,nan,23.458961486816406,nan,22.747920989990234,nan,24.212928771972656,nan,26.792675018310547
000000000029,24.50166130065918,14.651827812194824,24.524642944335938,15.082674980163574,24.589481353759766,15.76845932006836,24.654754638671875,15.08182144165039,24.09223175048828,16.880338668823242,23.635019302368164,25.720829010009766,23.35430908203125,23.917675018310547,21.565696716308594,23.930892944335938,22.121084213256836,22.89166831970215,22.02748680114746,14.25891399383545,20.278587341308594,18.072072982788086
000000000030,19.900102615356445,16.012950897216797,19.901409149169922,15.827037811279297,19.881052017211914,15.91503620147705,19.77930450439453,15.444003105163574,19.742164611816406,16.563241958618164,19.339197158813477,15.515921592712402,18.956165313720703,19.636516571044922,18.544292449951172,21.76171112060547,18.495464324951172,22.436193466186523,18.479045867919922,23.665233612060547,17.815284729003906,23.390941619873047
