sample_id,t_delta,t_start,t_end,psnr,clip_similarity_target_image
106,0.0,0.0,0.0,28.124771118164062,21.6304874420166
107,0.0,0.0,0.0,24.361242294311523,22.77755546569824
108,0.0,0.0,0.0,32.223777770996094,15.294888496398926
109,0.0,0.0,0.0,19.30766868591309,22.11238670349121
110,0.0,0.0,0.0,30.100446701049805,20.38706016540528
111,0.0,0.0,0.0,23.52702522277832,15.851503372192385
112,0.0,0.0,0.0,21.6236515045166,27.72659111022949
113,0.0,0.0,0.0,23.163856506347656,18.65668678283692
114,0.0,0.0,0.0,30.324369430541992,19.672887802124023
115,0.0,0.0,0.0,33.74352264404297,23.00498008728028
116,0.0,0.0,0.0,25.281471252441406,21.19126892089844
117,0.0,0.0,0.0,29.813100814819336,18.55051612854004
118,0.0,0.0,0.0,32.20457077026367,23.07211875915528
119,0.0,0.0,0.0,29.621824264526367,23.309785842895508
120,0.0,0.0,0.0,29.41359138488769,15.861513137817385
121,0.0,0.0,0.0,25.711463928222656,25.809616088867188
122,0.0,0.0,0.0,24.120073318481445,18.26108360290528
123,0.0,0.0,0.0,28.4047794342041,19.652732849121094
124,0.0,0.0,0.0,27.722517013549805,20.40933609008789
125,0.0,0.0,0.0,27.82176399230957,15.909819602966309
126,0.0,0.0,0.0,26.865781784057617,18.159637451171875
127,0.0,0.0,0.0,27.744518280029297,23.59624290466309
128,0.0,0.0,0.0,26.582603454589844,33.948238372802734
129,0.0,0.0,0.0,29.324586868286133,15.871572494506836
130,0.0,0.0,0.0,33.459712982177734,30.375
131,0.0,0.0,0.0,22.553953170776367,27.811613082885746
132,0.0,0.0,0.0,29.397926330566406,25.49364471435547
133,0.0,0.0,0.0,29.111921310424805,21.74461936950684
134,0.0,0.0,0.0,33.9696159362793,24.84391593933105
135,0.0,0.0,0.0,31.67684936523437,25.819551467895508
136,0.0,0.0,0.0,29.59648895263672,20.88018035888672
137,0.0,0.0,0.0,21.982641220092773,22.12834930419922
138,0.0,0.0,0.0,26.09361457824707,18.80422592163086
139,0.0,0.0,0.0,18.76020240783692,21.192535400390625
111000000000,0.0,0.0,0.0,25.237632751464844,15.00997257232666
111000000001,0.0,0.0,0.0,29.904539108276367,25.74822998046875
111000000002,0.0,0.0,0.0,31.514747619628903,15.039862632751465
111000000003,0.0,0.0,0.0,30.18595314025879,15.511636734008787
111000000004,0.0,0.0,0.0,26.44720458984375,28.58802032470703
111000000005,0.0,0.0,0.0,28.36724090576172,21.53117561340332
111000000006,0.0,0.0,0.0,37.7373046875,24.310497283935547
111000000007,0.0,0.0,0.0,28.01445198059082,15.975732803344728
111000000008,0.0,0.0,0.0,25.695556640625,23.14899635314941
111000000009,0.0,0.0,0.0,23.196853637695312,15.863597869873049
112000000000,0.0,0.0,0.0,24.40231132507324,24.948457717895508
112000000001,0.0,0.0,0.0,26.83257102966309,18.543285369873047
112000000002,0.0,0.0,0.0,28.18657493591309,21.147119522094727
112000000003,0.0,0.0,0.0,27.10136032104492,18.972314834594727
112000000004,0.0,0.0,0.0,27.88420486450196,23.502410888671875
112000000005,0.0,0.0,0.0,22.56376838684082,22.21690559387207
112000000006,0.0,0.0,0.0,26.525840759277344,23.745954513549805
112000000007,0.0,0.0,0.0,26.413311004638672,22.752281188964844
112000000008,0.0,0.0,0.0,28.250938415527344,25.556108474731445
112000000009,0.0,0.0,0.0,25.96527099609375,22.86213111877441
113000000000,0.0,0.0,0.0,27.82142639160156,21.91067695617676
113000000001,0.0,0.0,0.0,35.772464752197266,14.999821662902832
113000000002,0.0,0.0,0.0,28.59339141845703,21.9794921875
113000000003,0.0,0.0,0.0,28.66740798950196,22.026594161987305
113000000004,0.0,0.0,0.0,27.26940155029297,27.454025268554688
